name,size,avg throughput,avg time,stdev time,cv
benchReduceIterator,1073741824,21.2905,2.01732e+08,55601.8,0.000275623
benchReduceRange,1073741824,21.2913,2.01724e+08,46565,0.000230835
benchReduceStl,1073741824,21.2866,2.01769e+08,196618,0.000974472
benchReduceSimdStl,1073741824,21.2887,2.01749e+08,52271.9,0.000259094
benchReduceSimdOmpIterator,1073741824,2364.86,1.81616e+06,245574,0.135215
benchReduceSimdOmpRange,1073741824,2527.16,1.69952e+06,86338.4,0.0508016
benchReduceSimdXHorizontal,1073741824,9.1245e+07,47.0707,5.73004,0.121733
benchReduceSimdXVertical,1073741824,9.16186e+07,46.8788,5.25755,0.112152
benchReduceSimdXAlign,1073741824,9.18362e+07,46.7677,5.09075,0.108852
