name,size,avg throughput,avg time,stdev time,cv
benchReduceIterator,1073741824,16.1515,2.65917e+08,2.37065e+06,0.00891497
benchReduceRange,1073741824,16.0967,2.66822e+08,2.26486e+06,0.00848828
benchReduceStl,1073741824,9.92521,4.32733e+08,409406,0.000946092
benchReduceSimdStl,1073741824,16.0482,2.6763e+08,1.66117e+06,0.00620695
benchReduceSimdOmpIterator,1073741824,16.049,2.67616e+08,1.74241e+06,0.00651087
benchReduceSimdOmpRange,1073741824,16.1397,2.66112e+08,2.3708e+06,0.00890903
benchReduceSimdXHorizontal,1073741824,12.7548,3.36733e+08,152275,0.000452212
benchReduceSimdXVertical,1073741824,19.7082,2.17928e+08,1.57902e+06,0.00724563
benchReduceSimdXAlign,1073741824,12.6706,3.38972e+08,242711,0.00071602
