name,size,avg throughput,avg time,stdev time,cv
benchTransformOmpSimd,1073741824,7.7621,1.65998e+09,2.52039e+06,0.00151833
benchTransformDirectiveUnroll,1073741824,7.76419,1.65953e+09,2.58214e+06,0.00155595
benchTransformDirectiveUnrollFactor64,1073741824,9.15724,1.40707e+09,1.38212e+06,0.00098227
benchTransformUnrollManual,1073741824,1.0105,1.2751e+10,6.30593e+06,0.000494543
benchTransformUnrollLoopPeelingDirective,1073741824,47.8262,2.69411e+08,1.78762e+06,0.00663531
